,year,region,installed,tech,agent,category,sector,capital_costs
325,2045,R1,2035,gasboiler,A1,retrofit,residential,175.087.717.298
112,2030,R1,2030,gasboiler,A3,retrofit,residential,132.105.266.158
562,2055,R1,2030,gasCCGT,A1,retrofit,power,4.76E-03
291,2040,R1,2030,windturbine,A1,retrofit,power,1.334.913.537.915
125,2030,R1,2025,windturbine,A1,retrofit,power,612.692.514.424
546,2055,R1,2030,gasboiler,A3,retrofit,residential,4.50E-08
375,2045,R1,2030,gasboiler,A3,retrofit,residential,3.00E-08
604,2060,R1,2050,gasboiler,A2,retrofit,residential,138.552.631.579
514,2055,R1,2045,gasboiler,A1,retrofit,residential,385.263.153.895
591,2060,R1,2030,gasboiler,A1,retrofit,residential,3.00E-08
251,2040,R1,2035,gasboiler,A1,retrofit,residential,350.175.434.596
394,2045,R1,2030,gasCCGT,A1,retrofit,power,7.13E-03
408,2045,R1,2035,gassupply1,A1,retrofit,gas,5.158.210.861.338
107,2030,R1,2025,gasboiler,A3,retrofit,residential,118.157.893.237
572,2055,R1,2050,gassupply2,A1,retrofit,gas,1.881.168.443.462
98,2030,R1,2030,gasboiler,A2,retrofit,residential,198.157.899.237
561,2055,R1,2030,windturbine,A1,retrofit,power,4.004.740.613.746
244,2040,R1,2030,heatpump,A1,retrofit,residential,1.584.210.526.316
370,2045,R1,2035,gasboiler,A3,retrofit,residential,196.973.681.961
298,2040,R1,2025,windturbine,A1,retrofit,power,408.461.676.283
609,2060,R1,2030,gasboiler,A2,retrofit,residential,2.25E-08
81,2030,R1,2030,gasboiler,A1,retrofit,residential,3.00E-08
547,2055,R1,2045,gasboiler,A3,retrofit,residential,433.421.048.132
618,2060,R1,2030,gasboiler,A3,retrofit,residential,1.50E-08
353,2045,R1,2040,gasboiler,A2,retrofit,residential,138.552.631.579
263,2040,R1,2035,gasboiler,A2,retrofit,residential,196.973.681.961
211,2035,R1,2030,windturbine,A1,retrofit,power,29.863.092.972
594,2060,R1,2030,gasboiler,A1,retrofit,residential,6.00E-08
349,2045,R1,2035,gasboiler,A2,retrofit,residential,131.315.787.974
90,2030,R1,2030,gasboiler,A2,retrofit,residential,0.660526331
613,2060,R1,2050,gasboiler,A2,retrofit,residential,277.105.263.158
476,2050,R1,2030,windturbine,A1,retrofit,power,1.334.913.537.915
612,2060,R1,2030,gasboiler,A2,retrofit,residential,4.50E-08
658,2060,R1,2050,gassupply2,A1,retrofit,gas,3.762.336.886.923
592,2060,R1,2050,gasboiler,A1,retrofit,residential,184.736.842.105
393,2045,R1,2030,windturbine,A1,retrofit,power,2.002.370.306.873
306,2040,R1,2025,windturbine,A1,retrofit,power,1.225.385.028.848
152,2035,R1,2030,heatpump,A1,retrofit,residential,1.056.140.350.877
290,2040,R1,2025,windturbine,A1,retrofit,power,408.461.676.283
642,2060,R1,2050,gassupply1,A1,retrofit,gas,5.447.056
409,2045,R1,2040,gassupply1,A1,retrofit,gas,9.760.670.294.218
343,2045,R1,2035,gasboiler,A2,retrofit,residential,131.315.787.974
233,2035,R1,2030,gassupply1,A1,retrofit,gas,6.913.282.366.997
