Unnamed: 0,year,region,installed,technology,year,agent,emission_costs,category,sector
111,2050,R1,2035,gasboiler,2050,A3,0,newcapa,residential
112,2025,R1,2025,gassupply1,2025,A1,0,newcapa,gas
113,2055,R1,2040,gasboiler,2055,A1,0,newcapa,residential
114,2030,R1,2030,gasboiler,2030,A3,0,newcapa,residential
115,2045,R1,2025,windturbine,2045,A1,0,retrofit,power
116,2040,R1,2025,windturbine,2040,A1,0,newcapa,power
117,2050,R1,2035,gasboiler,2050,A2,0,newcapa,residential
118,2055,R1,2050,gassupply2,2055,A1,0,newcapa,gas
119,2060,R1,2030,windturbine,2060,A1,0,newcapa,power
120,2040,R1,2025,windturbine,2040,A1,0,retrofit,power
121,2060,R1,2050,gasboiler,2060,A1,0,newcapa,residential
122,2040,R1,2040,gassupply1,2040,A1,0,retrofit,gas
123,2030,R1,2025,gasCCGT,2030,A1,0,newcapa,power
124,2050,R1,2025,gasboiler,2050,A2,0,newcapa,residential
125,2060,R1,2060,gassupply2,2060,A1,0,retrofit,gas
126,2045,R1,2045,gasboiler,2045,A2,0,newcapa,residential
127,2060,R1,2025,gasboiler,2060,A2,0,retrofit,residential
128,2030,R1,2025,heatpump,2030,A1,0,retrofit,residential
129,2055,R1,2035,gassupply1,2055,A1,0,newcapa,gas
130,2035,R1,2025,windturbine,2035,A1,0,newcapa,power
131,2025,R1,2025,heatpump,2025,A1,0,retrofit,residential
132,2040,R1,2035,gasboiler,2040,A2,0,retrofit,residential
133,2060,R1,2055,gasboiler,2060,A1,0,retrofit,residential
134,2030,R1,2025,gasCCGT,2030,A1,0,retrofit,power
135,2045,R1,2025,windturbine,2045,A1,0,newcapa,power
136,2050,R1,2045,gasboiler,2050,A1,0,newcapa,residential
137,2055,R1,2035,gasboiler,2055,A2,0,newcapa,residential
138,2045,R1,2035,gasboiler,2045,A2,0,retrofit,residential
139,2045,R1,2040,gasboiler,2045,A2,0,retrofit,residential
140,2045,R1,2045,gassupply1,2045,A1,0,newcapa,gas
141,2060,R1,2050,gasboiler,2060,A2,0,retrofit,residential
142,2055,R1,2030,windturbine,2055,A1,0,newcapa,power
143,2045,R1,2035,gasboiler,2045,A1,0,retrofit,residential
144,2040,R1,2040,gasboiler,2040,A2,0,newcapa,residential
145,2050,R1,2040,gasboiler,2050,A3,0,retrofit,residential
146,2035,R1,2025,gasboiler,2035,A1,0,retrofit,residential
147,2055,R1,2045,gasboiler,2055,A1,0,newcapa,residential
148,2025,R1,2025,gasboiler,2025,A2,0,retrofit,residential
149,2040,R1,2025,windturbine,2040,A1,0,retrofit,power
150,2060,R1,2055,gasboiler,2060,A3,0,retrofit,residential
151,2045,R1,2045,gasboiler,2045,A2,0,newcapa,residential
152,2055,R1,2035,gasboiler,2055,A2,0,newcapa,residential
153,2040,R1,2030,heatpump,2040,A1,0,retrofit,residential
154,2055,R1,2050,gasboiler,2055,A1,0,retrofit,residential
155,2025,R1,2025,windturbine,2025,A1,0,retrofit,power
156,2045,R1,2025,gasboiler,2045,A3,0,retrofit,residential
157,2050,R1,2050,gasboiler,2050,A3,0,retrofit,residential
158,2055,R1,2035,gasboiler,2055,A1,0,newcapa,residential
159,2035,R1,2035,gasboiler,2035,A3,0,retrofit,residential
160,2055,R1,2050,gasboiler,2055,A1,0,newcapa,residential
161,2030,R1,2025,gasCCGT,2030,A1,0,newcapa,power
162,2045,R1,2045,gasboiler,2045,A1,0,retrofit,residential
163,2060,R1,2040,gasboiler,2060,A2,0,newcapa,residential
164,2050,R1,2045,gassupply1,2050,A1,0,retrofit,gas
165,2060,R1,2040,gassupply1,2060,A1,0,newcapa,gas
166,2055,R1,2045,gassupply1,2055,A1,0,retrofit,gas
167,2055,R1,2050,gasboiler,2055,A3,0,newcapa,residential
168,2050,R1,2025,gasboiler,2050,A3,0,newcapa,residential
169,2035,R1,2035,gasboiler,2035,A2,0,retrofit,residential
170,2055,R1,2050,gasboiler,2055,A1,0,newcapa,residential
171,2060,R1,2050,gasboiler,2060,A1,0,retrofit,residential
172,2035,R1,2035,gassupply1,2035,A1,0,retrofit,gas
173,2040,R1,2030,windturbine,2040,A1,0,newcapa,power
174,2035,R1,2025,gasCCGT,2035,A1,0,newcapa,power
175,2060,R1,2050,gassupply1,2060,A1,0,retrofit,gas
176,2055,R1,2030,windturbine,2055,A1,0,newcapa,power
177,2045,R1,2045,gassupply1,2045,A1,0,retrofit,gas
178,2060,R1,2050,gasboiler,2060,A1,0,retrofit,residential
179,2030,R1,2030,gasboiler,2030,A3,0,retrofit,residential
180,2035,R1,2035,gasboiler,2035,A1,0,retrofit,residential
