,year,region,technology,agent,category,sector,LCOE
57,2050,R1,gasboiler,A3,retrofit,residential,1.537.081.330.523
58,2025,R1,gasboiler,A1,retrofit,residential,1.558.014.080.786
59,2030,R1,windturbine,A1,retrofit,power,2.140.572.936.318
60,2055,R1,gasCCGT,A1,retrofit,power,0
61,2025,R1,windturbine,A1,retrofit,power,2.140.572.936.318
62,2055,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
63,2045,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
64,2030,R1,heatpump,A3,retrofit,residential,1.726.255.071.438
65,2055,R1,windturbine,A1,retrofit,power,0
66,2045,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
67,2050,R1,gasboiler,A2,retrofit,residential,1.414.219.386.713
68,2045,R1,gasboiler,A1,retrofit,residential,1.519.028.244.157
69,2025,R1,gasboiler,A3,retrofit,residential,1.558.014.080.786
70,2040,R1,gasboiler,A1,retrofit,residential,1.677.102.404.026
71,2050,R1,gasboiler,A3,retrofit,residential,1.708.146.369.047
72,2025,R1,gassupply1,A1,retrofit,gas,7.468.676.976.592
73,2050,R1,gasboiler,A1,retrofit,residential,2.194.885.730.239
74,2045,R1,gasboiler,A1,retrofit,residential,1.405.670.587.403
75,2035,R1,heatpump,A1,retrofit,residential,1.806.664.967.319
76,2030,R1,gassupply3,A1,retrofit,gas,1.928.591.526.575
77,2060,R1,gasboiler,A2,retrofit,residential,1.414.219.386.713
78,2050,R1,heatpump,A2,retrofit,residential,1.726.255.071.244
79,2055,R1,heatpump,A1,retrofit,residential,173.881.911.765
80,2045,R1,heatpump,A1,retrofit,residential,1.726.255.071.244
81,2055,R1,heatpump,A1,retrofit,residential,1.756.408.782.357
82,2025,R1,heatpump,A1,retrofit,residential,1.738.819.127.255
83,2055,R1,windturbine,A1,retrofit,power,0
84,2055,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
85,2060,R1,heatpump,A3,retrofit,residential,1.726.255.071.244
86,2030,R1,gasboiler,A3,retrofit,residential,1.487.428.958.684
87,2035,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
88,2045,R1,windturbine,A1,retrofit,power,0
89,2040,R1,gasboiler,A3,retrofit,residential,2.127.400.233.106
90,2025,R1,gassupply1,A1,retrofit,gas,7.468.676.976.592
91,2055,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
92,2050,R1,gasboiler,A2,retrofit,residential,1.414.219.386.713
93,2025,R1,gassupply2,A1,retrofit,gas,13.371.742.222.236
94,2040,R1,windturbine,A1,retrofit,power,2.140.572.936.318
95,2040,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
96,2025,R1,gasboiler,A3,retrofit,residential,1.716.141.519.531
97,2035,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
98,2030,R1,gassupply3,A1,retrofit,gas,1.928.591.526.575
99,2030,R1,windturbine,A1,retrofit,power,2.140.572.936.318
100,2050,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
101,2040,R1,gasboiler,A3,retrofit,residential,1.677.102.404.026
102,2045,R1,heatpump,A2,retrofit,residential,173.881.911.765
103,2030,R1,heatpump,A2,retrofit,residential,1.756.408.782.744
104,2030,R1,heatpump,A1,retrofit,residential,1.756.408.782.744
105,2050,R1,heatpump,A1,retrofit,residential,1.726.255.071.244
106,2060,R1,gasboiler,A1,retrofit,residential,1.414.219.386.713
107,2045,R1,heatpump,A3,retrofit,residential,173.881.911.765
108,2045,R1,gasboiler,A1,retrofit,residential,1.405.670.587.403
109,2030,R1,gassupply3,A1,retrofit,gas,1.928.591.526.575
110,2040,R1,gasboiler,A3,retrofit,residential,1.519.028.244.157
111,2030,R1,heatpump,A3,retrofit,residential,1.756.408.782.744
112,2045,R1,heatpump,A1,retrofit,residential,173.881.911.765
113,2040,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
114,2025,R1,gasboiler,A1,retrofit,residential,1.444.603.145.156
115,2030,R1,heatpump,A3,retrofit,residential,18.066.649.679
116,2050,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
117,2060,R1,gasboiler,A2,retrofit,residential,1.708.146.369.047
118,2035,R1,gasCCGT,A1,retrofit,power,2.447.117.113.586
119,2040,R1,gassupply3,A1,retrofit,gas,1.926.470.946.575
120,2025,R1,heatpump,A2,retrofit,residential,1.726.255.077.366
121,2055,R1,heatpump,A3,retrofit,residential,1.756.408.782.357
122,2035,R1,heatpump,A2,retrofit,residential,173.881.911.765
123,2045,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
124,2035,R1,windturbine,A1,retrofit,power,2.140.572.936.318
125,2040,R1,heatpump,A1,retrofit,residential,173.881.911.765
126,2060,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
127,2030,R1,gasboiler,A3,retrofit,residential,1.600.898.501.079
128,2050,R1,gasboiler,A3,retrofit,residential,1.414.219.386.713
129,2060,R1,windturbine,A1,retrofit,power,0
130,2035,R1,heatpump,A1,retrofit,residential,1.726.255.071.244
131,2050,R1,gasCCGT,A1,retrofit,power,0
132,2030,R1,heatpump,A3,retrofit,residential,1.726.255.071.438
133,2025,R1,gasboiler,A3,retrofit,residential,1.558.014.080.786
134,2050,R1,gasCCGT,A1,retrofit,power,0
135,2050,R1,gassupply2,A1,retrofit,gas,13.366.233.921.577
136,2045,R1,heatpump,A3,retrofit,residential,173.881.911.765
137,2045,R1,gassupply1,A1,retrofit,gas,7.467.758.375.274
138,2050,R1,gasboiler,A2,retrofit,residential,2.194.885.730.239
139,2025,R1,gasboiler,A2,retrofit,residential,1.558.014.080.786
140,2045,R1,heatpump,A2,retrofit,residential,1.726.255.071.244
