,year,commodity,region,installed,technology,agent,category,sector,consumption
267,2045,gas,R1,2035,gasboiler,A3,retrofit,residential,0.434129995
268,2040,gas,R1,2030,gasboiler,A3,retrofit,residential,0.52374
269,2025,gas,R1,2024,gasboiler,A1,retrofit,residential,0.61712
270,2030,gas,R1,2024,gasboiler,A3,retrofit,residential,0.291160007
271,2040,gas,R1,2024,gasboiler,A3,retrofit,residential,3.31E-09
272,2040,wind,R1,2025,windturbine,A1,retrofit,power,0.029537377
273,2040,gas,R1,2035,gasboiler,A1,retrofit,residential,0.578839993
274,2045,gas,R1,2024,gasboiler,A1,retrofit,residential,6.61E-09
275,2030,gas,R1,2025,gasboiler,A3,retrofit,residential,0.390629995
276,2040,wind,R1,2030,windturbine,A1,retrofit,power,0.096532544
277,2060,gas,R1,2055,gasboiler,A3,retrofit,residential,0.95525999
278,2040,gas,R1,2035,gasboiler,A1,retrofit,residential,115.767.998.678
279,2040,gas,R1,2024,gasboiler,A1,retrofit,residential,6.61E-09
280,2035,wind,R1,2025,windturbine,A1,retrofit,power,0.044306066
281,2045,gas,R1,2035,gasboiler,A3,retrofit,residential,0.86825999
282,2050,gas,R1,2024,gasboiler,A2,retrofit,residential,3.31E-09
283,2045,gas,R1,2024,gasboiler,A3,retrofit,residential,6.61E-09
284,2060,gas,R1,2024,gasboiler,A2,retrofit,residential,9.92E-09
285,2050,gas,R1,2024,gasboiler,A3,retrofit,residential,4.96E-09
286,2030,gas,R1,2025,gasboiler,A1,retrofit,residential,0.347226662
287,2030,wind,R1,2024,windturbine,A1,retrofit,power,0.021933333
288,2055,gas,R1,2045,gasboiler,A1,retrofit,residential,0.636839993
289,2055,gas,R1,2024,gasboiler,A2,retrofit,residential,9.92E-09
290,2035,gas,R1,2024,gasboiler,A3,retrofit,residential,6.61E-09
291,2050,gas,R1,2024,gasboiler,A1,retrofit,residential,8.82E-09
292,2045,gas,R1,2024,gasboiler,A2,retrofit,residential,4.96E-09
293,2030,gas,R1,2025,gasboiler,A3,retrofit,residential,0.260419997
294,2035,wind,R1,2030,windturbine,A1,retrofit,power,0.144798816
295,2025,wind,R1,2024,windturbine,A1,retrofit,power,0.021933333
296,2050,gas,R1,2040,gasboiler,A2,retrofit,residential,0.20358
297,2060,gas,R1,2055,gasboiler,A1,retrofit,residential,0.849119991
298,2025,gas,R1,2024,gasboiler,A2,retrofit,residential,1.131
299,2055,gas,R1,2050,gasboiler,A3,retrofit,residential,0.20358
300,2060,gas,R1,2050,gasboiler,A1,retrofit,residential,0.40716
301,2045,gas,R1,2024,gasboiler,A1,retrofit,residential,4.41E-09
302,2040,gas,R1,2024,gasCCGT,A1,retrofit,power,9.87E-09
303,2040,gas,R1,2024,gasboiler,A1,retrofit,residential,4.41E-09
304,2025,electricity,R1,2024,heatpump,A1,retrofit,residential,0.066933333
305,2035,gas,R1,2025,gasboiler,A1,retrofit,residential,0.520839993
306,2035,gas,R1,2024,gasboiler,A2,retrofit,residential,3.31E-09
307,2035,electricity,R1,2030,heatpump,A1,retrofit,residential,0.080266667
308,2025,wind,R1,2024,windturbine,A1,retrofit,power,0.043866667
309,2045,gas,R1,2024,gasboiler,A3,retrofit,residential,3.31E-09
310,2040,gas,R1,2035,gasboiler,A2,retrofit,residential,0.434129995
311,2035,gas,R1,2024,gasboiler,A2,retrofit,residential,3.31E-09
312,2040,wind,R1,2024,windturbine,A1,retrofit,power,0.014396739
313,2025,gas,R1,2024,gasCCGT,A1,retrofit,power,0.112725
314,2030,wind,R1,2025,windturbine,A1,retrofit,power,0.044999991
315,2030,electricity,R1,2024,heatpump,A1,retrofit,residential,0.1004
